# Temps,Bird_ID,X,Y,Z
5.1000,0.0000,61.0001,61.0001,25.4782
5.1500,0.0000,61.5001,61.5001,25.5925
5.1500,1.0000,20.6874,10.0000,37.3738
5.2000,1.0000,20.4999,10.0000,37.4551
5.2000,0.0000,62.0001,62.0001,25.7051
5.2500,0.0000,62.5001,62.5001,25.8159
5.2500,1.0000,20.3124,10.0000,37.5346
5.3000,0.0000,63.0002,63.0002,25.9250
5.3000,1.0000,20.1249,10.0000,37.6125
5.3500,0.0000,63.5002,63.5002,26.0325
5.3500,1.0000,19.9374,10.0000,37.6887
5.4000,0.0000,64.0002,64.0002,26.1382
5.4000,1.0000,19.7499,10.0000,37.7632
5.4500,1.0000,19.5624,10.0000,37.8361
5.4500,0.0000,64.5002,64.5002,26.2424
5.5000,1.0000,19.3749,10.0000,37.9074
5.5000,0.0000,65.0002,65.0002,26.3449
5.5500,0.0000,65.5002,65.5002,26.4458
5.5500,1.0000,19.1874,10.0000,37.9770
5.6000,1.0000,18.9999,10.0000,38.0451
5.6000,0.0000,66.0002,66.0002,26.5451
5.6500,0.0000,66.5002,66.5002,26.6429
5.6500,1.0000,18.8124,10.0000,38.1116
5.7000,0.0000,67.0002,67.0002,26.7391
5.7000,1.0000,18.6249,10.0000,38.1766
5.7500,0.0000,67.5002,67.5002,26.8338
5.7500,1.0000,18.4374,10.0000,38.2401
5.8000,1.0000,18.2499,10.0000,38.3020
5.8000,0.0000,68.0002,68.0002,26.9271
5.8500,1.0000,18.0624,10.0000,38.3626
5.8500,0.0000,68.5002,68.5002,27.0188
5.9000,1.0000,17.8749,10.0000,38.4216
5.9000,0.0000,69.0002,69.0002,27.1091
5.9500,0.0000,69.5002,69.5002,27.1980
5.9500,1.0000,17.6874,10.0000,38.4793
6.0000,0.0000,70.0002,70.0002,27.2856
6.0000,1.0000,17.4999,10.0000,38.5356
6.0500,1.0000,17.3124,10.0000,38.5905
6.0500,0.0000,70.5002,70.5002,27.3717
6.1000,0.0000,71.0002,71.0002,27.4565
6.1000,1.0000,17.1249,10.0000,38.6440
6.1500,0.0000,71.5002,71.5002,27.5400
6.1500,1.0000,16.9374,10.0000,38.6963
6.2000,0.0000,72.0002,72.0002,27.6223
6.2000,1.0000,16.7499,10.0000,38.7473
6.2500,1.0000,16.5624,10.0000,38.7970
6.2500,0.0000,72.5002,72.5002,27.7032
6.3000,0.0000,73.0002,73.0002,27.7830
6.3000,1.0000,16.3749,10.0000,38.8455
6.3500,1.0000,16.1874,10.0000,38.8928
6.3500,0.0000,73.5002,73.5002,27.8616
6.4000,1.0000,15.9999,10.0000,38.9389
6.4000,0.0000,74.0002,74.0002,27.9390
6.4500,1.0000,15.8124,10.0000,38.9840
6.4500,0.0000,74.5002,74.5002,28.0152
6.5000,0.0000,75.0002,75.0002,28.0904
6.5000,1.0000,15.6249,10.0000,39.0279
6.5500,0.0000,75.5002,75.5002,28.1645
6.5500,1.0000,15.4374,10.0000,39.0707
6.6000,0.0000,76.0002,76.0002,28.2375
6.6000,1.0000,15.2499,10.0000,39.1125
6.6500,1.0000,15.0624,10.0000,39.1533
6.6500,0.0000,76.5002,76.5002,28.3096
6.7000,0.0000,77.0002,77.0002,28.3806
6.7000,1.0000,14.8749,10.0000,39.1931
6.7500,1.0000,14.6874,10.0000,39.2320
6.7500,0.0000,77.5002,77.5002,28.4508
6.8000,0.0000,78.0002,78.0002,28.5200
6.8000,1.0000,14.4999,10.0000,39.2700
6.8500,1.0000,14.3124,10.0000,39.3071
6.8500,0.0000,78.5002,78.5002,28.5883
6.9000,0.0000,79.0002,79.0002,28.6558
6.9000,1.0000,14.1249,10.0000,39.3433
6.9500,1.0000,13.9374,10.0000,39.3788
6.9500,0.0000,79.5002,79.5002,28.7225
7.0000,1.0000,13.7499,10.0000,39.4134
7.0000,0.0000,80.0002,80.0002,28.7884
7.0500,1.0000,13.5624,10.0000,39.4474
7.0500,0.0000,80.5002,80.5002,28.8536
7.1000,0.0000,81.0002,81.0002,28.9181
7.1000,1.0000,13.3749,10.0000,39.4806
